Pharmacy Name,Pharmacy_url,Street Address,City,State,State_ab,Zip Code,Phone,Conditions Served,Pharmacy Contact,Contact Email,Accreditation,Company Type,Ownership,Patient Services,Payer Services,Pharmaceutical Services,Pharmacy Locations,Limited Distribution Drugs,
Elwyn Specialty Care,http://www.elwynspecialtycare.com,54 Conchester Road,Glen Mills,Pennsylvania,PA,19342,610-545-6040,"Fertility, Hepatitis, Crohn's Disease, HIV, Multiple Sclerosis, Oncology, Rheumatoid Arthritis, Psoriasis, Bleeding Disorders, Hemophilia",Stephen Seiden,,"URAC, ACHC",Subsidiary,Elwyn Pharmacy Group,"24/7 support, Delivery, Prior Authorization processing, Co-pay and financial assistance, Limited distribution medication access, Patient specific packaging, Two way adherence portal technology","Prior authorization processing, Auto-enroll manufacture medication specific support programs; ","Benefits investigation, Prior Authorization assistance, Copay Card Assistance, Home Delivery","Media, PA; Charleston, WV; Glen Rock, NJ",,
Empire Specialty Pharmacy,http://www.empirespecialtypharmacy.com,6601 Bergenline Avenue,West New York,New Jersey,NJ,07093,877-236-2170,"Oncology, Crohn's Disease, Gastroenterology, Hemophilia, Hepatitis, Immunology, Multiple Sclerosis, Osteoporosis, Rheumatoid Arthritis, Cystic Fibrosis, Dermatology",Peter Barkachi,,"URAC, JCAHO",Private,Independent,"Delivery, Financial and reimbursement assistance",,,,,
Encompass Rx,http://encompassrx.com/,"500 Bishop St. NW
Suite A-3",Atlanta,Georgia,GA,30318,855.443.9944,"Hepatitis C, Fertility, IBD, Multiple Sclerosis, Transplantation",Deepak Ranade,,URAC,Private,Independent,"Benefit verification, Financial assistance, Manufacturer Patient assistance program, Counseling and education, On call pharmacist, Delivery, Refill reminder and compliance calls","Disease state management, Educational support, Refill and lab test reminders, Pharmacist support 24/7","Clinical pharmacist support, Manufacturer-approved education, Therapy specific targeted intervention, Custom data reporting",,,
Enexia Specialty,https://www.enexiaspecialty.com/,826 Forest Avenue,Staten Island,New York,NY,10310,866-936-3942,"Bleeding Disorders, Dermatology, Gastroenterology, Hepatitis, Neutropenia, Pulmonology, Oncology, Osteoporosis",Boris Natenzon,,,Private,Independent,"Counseling and education, delivery",Prior authorization,Compliance,"Brooklyn, NY; Staten Island, NY; New York, NY",,
EntrustRx,http://www.entrustrx.com/,2001 Campbell Station Parkway,Spring Hill,Tennessee,TN,37174,855-273-3924,"Hepatitis C, Oncology, Growth Hormone, Multiple Sclerosis, Rheumatoid Arthritis, Alpha 1, Anticoagulant, Asthma, Bleeding Disorders, Crohn's Disease, Cystic Fibrosis, Endocrine disorders, Growth Hormone, Hemophilia, HIV, Immunology, Inflammatory disease, Osteoarthritis, Osteoporosis, PAH, RSV, Transplantation, Ulcerative colitis",Tim Liebmann,,"URAC, ACHC",Subsidiary,Fred's Inc.,"Counseling and education, Financial and copay assistance, 24/7 pharmacist and support",Prior Authorization and compliance programs,,"Memphis, TN; Columbus, MS; Murfreesboro, TN",,
Envison Specialty,https://www.envisionpharmacies.com,7835 Freedon Avenue NW,North Canton,Ohio,OH,44720,866-909-5170,"Allergies, Alzheimer's, Arthritis, Asthma, Autism, Crohn's Disease, Diabetes, Epilepsy, Glaucoma, Growth Hormone, Heart Disease, Hematopoietic, Hemophilia, Hepatitis C, IVIG, Renal disease, Lung diseases, Multiple Sclerosis, Oncology, Osteoporosis, Parkinson's, Psoriasis, Rheumatoid Arthritis, Transplantation",Donald Gale,,URAC,Subsidiary,EnvisionPharmacies,"Insurance and financial assistance, Counseling and education, Delivery, 24x7 pharmacist support",Prior authorization,"Patient assistance programs, Product launch assistance, Clinical support focused on patient outcomes, Reporting and insights",Educational materials,"Euflexxa, Hyalgan, Orthovisc, Supartz,
Synvisc, Vimpat, and Synagis",
Ethical Factor Rx,http://www.ethicalfactorrx.com/,"330 Montage Mountain Rd.
Suite a-11",Moosic,Pennsylvania,PA,18507,"570-606-3622
","Hemophilia, Hepatitis C, HIV, Rheumatoid Arthritis, Crohn's Disease, Asthma, Immunology, Oncology, Crohn's Disease, Fertility, Multiple Sclerosis, Diabetes, Hyperlipidemia",Lisa Tomcykoski,,URAC,Private,Independent,"Specialized dispensing, Patient care management, Financial counseling/assistance",,,,Hemlimbra,
Evers Pharmacy,http://www.eversrx.com,Evers Pharmacy,Jamaica,New York,NY,11436,718-323-8377,"HIV, Hepatitis, Fertility, Gastroenterology, Oncology, Transplantation",Anthony Varikos,,ACHC,Private,Independent,"Education, delivery, Financial assistance",Payor Authorization,"Packaging, Adherence",,,
ExactCare Pharmacy,www.exactcarepharmacy.com,160 Airport Rd,Lakewood,New Jersey,NJ,08701,732-259-9660,,Brad Hess,,,Subsidiary,Nautic Partners,"Medication management, Delivery and refills, Education and counseling",,,"Lakewood, NJ",,
Exactus Pharmacy Solutions,http://www.exactusrx.com,"4110 George Road, Suite 100",Tampa,Florida,FL,33634,866-458-9246,"Bleeding Disorders, Cystic Fibrosis, Crohn's Disease, Hemophilia, Hepatitis, Growth Hormone, Multiple Sclerosis, Neutropenia, Oncology, Osteoarthritis, Psoriasis, RSV, Rheumatoid Arthritis, PAH, Lysosomal Storage Disorders",Warren Beiderman,,URAC,Subsidiary,WellCare Health Plans,"Phone-based outreach, Targeted education, Adherence support, Refill reminders",,,,"Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva, REVLIMID, Iclusig, Letairis, Hemlimbra",
Express Drugs & Surgicals,,212 Edgewood Avenue,Atlanta,Georgia,GA,30303,404-688-2211,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",John Lee,,,Member,CARE Pharmacies,Counseling and Education,,,,,
Express Health Mart,http://www.expresshealthmart.com/,1173 Norstrand Avenue,Brooklyn,New York,NY,11225,347-221-1100,"Acromegaly, Fertility, Growth Hormone, Hepatitis C, HIV, Multiple Sclerosis, Oncology, Osteoarthritis, Transplantation",Bob Weinberg,,,Private,Independent,"Delivery, Counseling and education",,,,,
F&M Specialty Pharmacy,http://fandmrx.com,117 Luckney Station,Flowood,Mississippi,MS,39232,601-939-9353,"Hepatitis, Oncology, Bleeding Disorders, Rheumatoid arthritis, Transplantation",,,ACHC,Subsidiary,ReCept Pharmacy,"Counseling and education, delivery, benefit coordination",,Compliance program,,,
Factor One Source Pharmacy,http://fosrx.com/wp/,308 Virginia Ave,Cumberland,Maryland,MD,21502,844-773-6779,"PAH, HIV, Hepatitis, Transplantation, Rheumatoid Arthritis, Hemophilia, Oncology, Multiple Sclerosis, Hyperlipidemia, Diabetes, Crohn's Disease, Fertility, Immunology",Sajal Roy,,"URAC, JCAHO",Private,Independent,"Counseling and education, delivery, benefit coordination","Insurance authorization and claims filing, Clinical counseling and support, Patient-specific billing program, Compliance checks",,,,
Factor Support Network Pharmacy,http://www.factorsupport.com,"900 Avenida Acaso, Suite A",Camarillo,California,CA,93012,805-388-9336,"Hemophilia, von Willebrand Disease, Immunology, Neurology, HAE, Alpha-1, Hepatitis, Multiple Sclerosis, Rheumatoid Arthritis, HIV, PAH, Crohn's Disease, Psoriasis",Holly Shaw,,"URAC, ACHC",Subsidiary,Matrix Health Group,"On-call, 24-hour access, Next-day delivery, Infusion log support",Patient Assistance Program,Patient Assistance Program,,,
Fairview Specialty Pharmacy,http://www.fairview.org/Pharmacy/Specialtypharmacy,711 Kasota Ave. SE,Minneapolis,Minnesota,MN,55414,612-672-5260,"Fertility, Immunology, Multiple Sclerosis, Rheumatoid Arthritis, Oncology, Transplantation, Hemophilia, Ankylosing Spondylitis, Crohn's Disease, Cystic Fibrosis, Hepatitis C, HIV, Psoriasis, Psoriatic Arthritis",Kyle Skiermont,,URAC,Subsidiary,Fairview Health Services,Refills and Delivery,,,,"Orkambi, Kalydeco, Kuvan",
Farmacia San Rafael,https://sanrafaelfarmacia.com/en/,851 Lafayette,Santurce,Puerto Rico,PR,00909,787-724-3333,"Oncology, HIV, Rheumatoid Arthritis, Multiple Sclerosis, Hepatitis C",Angel Diaz Rivas,,URAC,Private,Independent,Counseling and education,,,,,
Fast Access Specialty Therapeutics,http://www.fastaccessrx.com,"3131 N I-10 Service Rd E, #202",Metairie,Louisiana,LA,70002,504-885-3378,"Rheumatoid Arthritis, Dermatology, Oncology, Immunology, Hemophilia, Endocrinology, Gastroenterology, Neurology",Stephen Lacoste,,"URAC, JCAHO",Subsidiary,Factor One Source Pharmacy,"Clinical support, Delivery","Benefit management, Insurance verification",,,Hemlimbra,
Fenny Pharmacy LLC,http://www.fennyspecialtyrx.com/,129 Newark Avenue,Jersey City,New Jersey,NJ,07302,855-344-6355,"Multiple Sclerosis, HIV, Hepatitis, Crohn's Disease, Dermatology, Oncology, Transplantation, Bleeding Disorders, Asthma, DVT, Growth Hormone, Hemophilia, Fertility, Immunology",Badrinath Boggaram,,ACHC,Private,Independent,"Delivery, Blister Packs, Billing and Insurance assistance, Injection training",,,,,
Fidelis Specialty Pharmacy,,,,,,,,,,,,,,,,,,Hemlimbra,
First Choice IV,,,,,,,,,,,,,,,,,,Hemlimbra,
Fleetwood Pharmacy,http://www.mygnp.com/store?id=0013000000ioApDAAU&account=gnp-pharmacy-address-505-Gramatan-Avenue-Mount-Vernon-NY-10552,505 Gramatan Ave,Mt. Vernon,New York,NY,10552,914-665-5556,"Cardiovascular, Diabetes, HIV, Hepatitis",,,,Subsidiary,AmerisourceBergen,,,,,,
Flex Care Pharmacy,http://flexcarepharmacy.com/,3681 Alabama Avenue SE,Washington,District of Columbia,DC,20020,202-575-0578,"Paim Management, Asthma, Fertility, HRT",Vivian Nanacho,,,Private,Independent,"Counseling and education, Free delivery, MTM programs",,,,,
Florida Specialty Pharmacy,http://www.flspecialtypharmacy.com/,"7015 AC Skinner Parkway, Suite 2",Jacksonville,Florida,FL,32256,904-519-2720,Oncology,Kelsie Mack,,,Subsidiary,Cancer Specialists of North Florida,"Counseling and education, Co-pay assistance, Delivery",,,"Fleming Island, FL; Jacksonville, FL (5); Jacksonville Beach, FL; Middleburg, FL; ",,
FocusRx,http://www.myfocusrx.com,1035 Straight Path ,West Babylon,New York,NY,11704,888-570-9077,"Oncology, IVIG, Hepatitis C, Crohn's Disease, Rheumatoid Arthritis, Psoriasis, Osteoarthritis",Lou Puleo,,"URAC, JCAHO",Private,Independent,"Counseling and education, Benefits investigation, Prior Authorization, Financial/Co-pay assistance",,"Adherence program, Multiple medication packaging",,,
Fort Wayne Medical Oncology and Hematology ,http://www.fwmoh.com,11143 Parkview Plaza Dr #100,Fort Wayne,Indiana,IN,46845,260-484-8830,Oncology,Steven Meyer,,,Private,Independent,,,,,,
Foundation Care LLC,http://www.foundcare.com,4010 Wedgeway Court,Earth City,Missouri,MO,63045,314-291-1122,Cystic Fibrosis,Mike Schultz,,URAC,Private,Independent,Reimbursement assistance,,"Compliance and adherence, Distribution and third party logistics",,"Orkambi, Kalydeco, Cayston",
FRD Specialty Pharmacy,http://www.frdspecialtyrx.com,6253 Foothill Blvd.,Los Angeles,California,CA,91042,818-236-2500,"Asthma, Cardiovascular, Dermatology, Fertility, Gastroenterology, Hemophilia, Hepatitis, HIV, IVIG, Infusion, Multiple Sclerosis, Oncology, Transplantation, Rheumatology, RSV, Urology",Leo Kay,,,Private,Independent,"Financial assistance, Co-pay assistance, Auto-refill program, Delivery, 24/7 support",,"Prior Authorization, MTM, Limited Distribution Drugs",,,
Freedom Fertility Pharmacy,http://www.freedomfertility.com,12 Kent Way,Byfield,Massachusetts,MA,1922,800-660-4283,Fertility,Bill O'Neil,,,Subsidiary,Express Scripts,"Financial assistance, 24x7 support, Clinical support",,,,"Bravelle®, Cetrotide® Chorionic Gonadatropin (brands include Novarel®, Pregnyl ®) Crinone®, Endometrin®, Follistim AQ®, Ganirelix, Gonal-F ® , Ovidrel®",
Freedom Pharmacy & Wellness Center ,http://www.hhcs.com/freedom,3901 E Colonial Drive,Orlando,Florida,FL,32803,407-898-4427,Cystic Fibrosis,Lois Adams,,ACHC,Subsidiary,HHCS,"Circle of Care Program, Refills, Patient Assistance Programs",,"Customized services and data packages, Patient support/assistance programs, New drug launch coordination, Marketing support, Adherence programs",,,
"Fresenius Rx (2,200 dialysis centers)",http://www.fmcna.com,920 Winter Street,Waltham,Massachusetts,MA,2451,781-699-9000,Renal disease,Billy Kim,,,Subsidiary,DaVita,"24/7 support, counseling and education, Financial assistance",,"Prior authorization, Customized reporting, Compliance and adherence programs",,,
Froedtert Specialty Pharmacy,http://www.froedtert.com/patients-visitors/pharmacy,9200 West Winconsin Avenue,Milwaukee,Wisconsin,WI,53226,414-805-3666,"Fertility, Immunology, Multiple Sclerosis, Rheumatoid Arthritis, Oncology, Transplantation, Hemophilia, Ankylosing Spondylitis, Crohn's Disease, Cystic Fibrosis, Hepatitis C, HIV, Psoriasis, Psoriatic Arthritis",Chris Sanders,,URAC,Subsidiary,Froedtert & Medical College of Wisconsin,"Counseling and education, Benefit assistance, Delivery and refills, 24x7 support, Financial assistance, ",,,,,
"Genoa, a QoL Healthcare Company",http://www.genoa-qol.com/,"18300 Cascade Avenue South, Suite 251",Tukwila,Washington,WA,98188,800-519-1139,"Behavioral Health, Substance use disorders",David Vucurevich,,,Private,Independent,"Pick-up and delivery, On-site clinical pharmacist 24x7, ",,,,,
Gentry Health Services,http://gentryhealthservices.com/,1090 Enterprise Dr,Medina,Ohio,OH,44256,844-443-6879,"HIV, Crohn's Disease, Growth Hormone, Hepatitis, Hyperlipidemia, Multiple Sclerosis, Osteoporosis, Psoriasis, Psoriatic Arthritis, Rheumatoid Arhritis",Brandon Hardin,,"URAC, ACHC",Private,Independent,"Insurance verification, 24/7 assistance, Financial assistance","Clinical interventions, Prior authorization, 24/7 access","Medication counseling and self-administration training, Medication review program, Customized clinical program, Patient access to medications, Customized fulfillment programs, Customized reporting, 3PLs and Hubs, Patient Advocacy",,,
Gianotto's Specialty Pharmacy,http://www.giopharm.com,195 First Avenue,Newark,New Jersey,NJ,07107,973-482-8220,"Crohn's Disease, Diabetes, Hepatitis, HIV, Multiple Sclerosis, Oncology, Osteoporosis, Osteoarthritis, Psoriasis, Rheumatoid Arthritis",Trushar Sheth,,"URAC, ACHC",Private,Independent,"Medicine-on-Time, Delivery and refills","Reports and monitor waste reduction, Prior Authorization, Compliance, Intervention","Medication and therapy packaging, Pilot programs within patient profile, Patient usage reporting, Assistance with product launches and distribution of education material",,,
Giant Eagle Specialty Pharmacy,https://specialtyrx.gianteagle.com,600 Lindbergh Drive,Moon Township,Pennsylvania,PA,15108,844-259-1891,"Oncology, Rheumatoid arthritis, Psoriasis, Crohn's disease, Multiple Sclerosis, HIV, Growth Hormone, Osteoporosis, Hepatitis C",Debbie Krasnow,,"URAC, ACHC",Subsidiary,Giant Eagle,"Counseling and education, Financial assistance","Benefit investigation services, Financial assistance services","Disease-specific care teams, Customized drug therapy management, Utilization and adherence monitoring, Refill reminders, Physician outreach and care coordination, 24x7 pharmacist, Manufacturer-sponsored support programs",,,
Glen Echo Pharmacy,https://carepharmacies.com/blog/location/glen-echo-care-pharmacy-2/,7311 MacArthur Blvd,Bethesda,Maryland,MD,20816,301-229-5656,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Ata Dizdar,,,Member,CARE Pharmacies,,,,,,
Glen Rock Medical Pharmacy,http://glenrockmedicalpharmacy.com,210 Rock Road,Glen Rock,New Jersey,NJ,07452,201-444-3200,"Fertility, Hepatitis, Crohn's Disease, HIV, Multiple Sclerosis, Oncology, Rheumatoid Arthritis, Psoriasis, Anemia, Anti-Psychotic, Hemophilia",Mary Schouten-Norris,,"URAC, ACHC",Subsidiary,Elwyn Pharmacy Group,"DesignRx, Delivery, 24/7 support, Adherence, Financial assistance, Injection training, Prior authorization",,"Copay and foundation program assistance, Limited distribution medication access, Customized disease specific referral forms, Packaging options, Adherence program",,,
Globe Drug and Surgical,http://www.globedrugstore.net/,405 86th Street,Brooklyn,New York,NY,11209,718-745-2233,"Hepatitis C, HIV, Psoriasis, Rheumatoid arthritis, Crohn's Disease, Osteoporosis",Brett Cohen,,JCAHO,Private,Independent,Counseling and education,Prior authorization,,,,
GoodCARE Pharmacy,https://carepharmacies.com/blog/location/goodcare-pharmacy/,2910 Martin Luther King Jr Ave SE,Washington,District of Columbia,DC,20032,202-561-4343,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",,,,Member,CARE Pharmacies,,,,,,
Grassy Sprain Pharmacy,http://www.grassysprainpharmacy.com,640 Tuckahoe Road ,Yonkers,New York,NY,10710,877-947-2779,Fertility,Alex Kavrazonis,,,Subsidiary,Westchester Pharmacy Group,"Refills, Auto-refill program, Delivery",,,,,
Group Health Specialty Pharmacy,www.ghc.org,P.O. Box 34590 ,Seattle,Washington,WA,98124,206-901-4636,"Crohn's Disease, Cystic Fibrosis, Hepatitis, HIV, Multiple Sclerosis, Oncology, Osteoporosis, Renal Disease, Rheumatoid Arthritis, Infusion","Paul Yoon, Manager",,,Health System,Group Health Coop,"Treatment monitoring, financial assistance options, 24/7 support",,,,,
Grubb's CARE Pharmacy,http://www.grubbspharmacy.com/,326 East Capitol Street NE,Washington,District of Columbia,DC,20003,202-543-4400,"Oncology, Crohn's Disease, Behavioral Health, HIV, Osteoporosis, Rheumatoid Arthritis",Michael Kim,,,Private,Independent,"Counseling and education, Delivery, Refills",,,,,
Grubb's NW Specialty Pharmacy,http://grubbsnw.com,1517 17th Street NW,Washington,District of Columbia,DC,20036,202-503-2644,"HIV/AIDS, Fertility, Hepatitis C, Rheumatoid Arthritis",Yoosup Chang,,,Private,Independent,"Clinical counseling, delivery",,"Adherence program, MTM services",,,
Grubb's Southeast Pharmacy,http://grubbspharmacyse.com/,1800 Martin Luther King Jr Ave SE,Washington,District of Columbia,DC,20020,202-503-3610,"Oncology, Crohn's Disease, Behavioral Health, HIV, Osteoporosis, Rheumatoid Arthritis",William Fadel,,,Private,Independent,"Counseling and education, Delivery, Refills",,,,,
Gundersen Health System's Specialty Pharmacy,http://www.gundersenhealth.org/services/pharmacy/specialty-pharmacy-service/,1900 South Avenue,La Crosse,Wisconsin,WI,54601,608-782-7300,"Fertility, Immunology, Multiple Sclerosis, Rheumatoid Arthritis, Oncology, Transplantation, Hemophilia, Ankylosing Spondylitis, Crohn's Disease, Cystic Fibrosis, Hepatitis C, HIV, Psoriasis, Psoriatic Arthritis",Jolene Garrett,,,Subsidiary,Gundersen Health System,"Refills, Prior authorizations, Delivery, support",,,"La Crosse, WI; Onalaska, WI",,
Halethorpe Pharmacy,http://halethorpepharmacy.com/,1307 Francis Avenue,Baltimore,Maryland,MD,21227,410-247-3344,Diabetes,George Garmer,,,Private,Independent,"Counseling and education, Free delivery",,,,,
Hartford HealthCare Specialty Pharmacy,https://hartfordhospital.org/health-professionals/education/residencies-fellowships/pharmacy-residencies/hartford-hospital-pharmacy-department,1 State Street,Hartford,Connecticut,CT,06103,860-263-4100,"Hemophilia, Multiple Sclerosis, Hepatitis, Rheumatoid Arthritis, HIV, Pulmonology, Asthma, Crohn's Disease, Oncology, Transplantation, Hyperlipidemia",Eric Arlia,,,Subsidiary,Hartford HealthCare,,,,,,
Health Care Pharmacy,,953 Garfield Avenue,Jersey City,New Jersey,NJ,07304,201-369-6918,,,,,Private,Independent,,,,,,
Health Spectrum Pharmacy Services,https://www.lvhn.org/our_services/key_support_services/pharmacy,1200 S. Cedar Crest Blvd.,Allentown,Pennsylvania,PA,18103,610-402-8444,"Bleeding Disorders, Neutropenia, Oncology, Enzyme Deficiencies, Endocrine Disorders, Fertility, Growth Hormone, Hemophilia, Hepatitis, HIV, Multiple Sclerosis, Osteoporosis, Pulmonolgy, Respiratory Disorders, Transplantation",Brian Lenich,,,Subsidiary,Lehigh Valley Health Network,Refills and shipping,,,"Allentown, PA; Bethlehem, PA",,
Healthcare Evolution,,,,,,,,,,,,,,,,,,Hemlimbra,
HealthSource Pharmacy,http://www.healthsourcepharmacy.com,1302 Second Avenue at 68th Street,New York,New York,NY,10065,212-794-8700 ,"Fertility, Oncology, Pain Management, Transplantation, Diabetes",,,,Private,Independent,Delivery,,,"New York, NY (2)",,
